archetype,total_insert_events,total_delete_events,total_copy_events,total_paste_events,avg_paste_length,max_paste_length,paste_to_insert_ratio,undo_events,redo_events,run_compile_events,avg_typing_speed,typing_burst_count,typing_pause_frequency,avg_pause_duration,longest_pause,key_latency_mean,key_latency_variance,paste_after_idle_time,typing_vs_paste_ratio,code_edit_distance,total_code_versions,avg_lines_added_per_revision,avg_lines_removed_per_revision,refactor_frequency,compile_error_count,error_fix_time,code_rewrite_ratio,function_rewrite_count,comment_addition_count,total_prompts_sent,avg_prompt_length,max_prompt_length,prompt_similarity_to_problem,prompt_refinement_count,prompt_entropy,clarification_prompt_ratio,solution_request_ratio,debugging_prompt_ratio,ai_response_acceptance_rate,ai_output_edit_distance,prompt_to_code_latency,session_duration,time_to_first_code,time_to_first_ai_prompt,ai_usage_early_ratio,ai_usage_late_ratio,iteration_cycle_count,avg_cycle_duration,focus_switch_count,browser_to_editor_ratio,idle_ratio
Structured Collaborator,719.0,273.0,6.0,121.885,105.028,159.0,0.1338288233109943,29.164,0.0,2.271,257.716,22.0,19.0,15.1,90.3,202.4,64.5,16.9,1.944,0.343,1.0,16.0,10.0,1.0,0.0,74.4,0.143,1.0,11.0,10.0,14.0,41.0,0.694,5.0,1.662,0.4198928110916309,0.84,0.341,0.419,0.671,83.1,2652.0,335.0,389.0,0.56,0.357,3.0,663.0,21.0,0.39,0.463
Prompt Engineer Solver,662.0,195.0,23.0,72.665,37.0,64.0,0.0226,6.0,4.543,8.0,228.131,24.0,14.0,6.9,35.4,164.4,50.6,3.133,5.953,0.239,10.0,23.0,18.0,4.0,4.0,2.4,0.119,0.0,12.0,14.0,58.0,107.0,1.591,5.0,0.272,0.18,0.4986537661619966,0.151,1.0,0.774,53.4,1815.0,659.015,231.0,0.394,0.337,1.0,907.5,24.0,0.439,0.444
Independent Solver,1164.0,348.0,0.0,23.928,11.0,16.0,0.0069,23.0,7.0,13.0,126.579,40.0,46.0,14.5,35.7,151.5,73.6,9.7,10.0,0.414,19.0,4.0,3.0,9.0,7.0,-21.0,0.623,19.695,0.0,1.0,19.0,46.0,0.155,3.925,0.255,1.0,0.347,0.118,0.184,0.229,23.814,2645.0,117.0,1588.0,0.028,0.089,5.0,440.8,1.0,0.117,0.125
Structured Collaborator,871.0,945.287,18.0,5.0,111.0,227.0,0.0057,0.0,0.0,7.0,81.7,51.0,28.0,1.0,27.3,146.9,300.931,0.9,1.0,0.159,9.0,18.0,36.384,2.0,4.0,74.4,0.0882731362086333,1.0,9.0,16.0,43.044,59.0,0.461,4.0,0.264,0.273,0.715,0.8700040701496623,0.557,2.554,59.3,3145.0,282.0,260.0,0.439,1.0,1.0,1.0,21.0,0.484,0.28141001061349225
Structured Collaborator,921.0,395.0,18.0,21.0,75.0,220.0,0.0228,0.0,0.0,5.0,52.9,37.0,26.0,13.3,44.7,283.731,84.0,18.5,1.0,1.281,22.481,23.0,8.0,6.0,2.0,47.3,0.127,1.0,12.0,12.0,26.0,54.0,0.443,6.0,0.293,0.560875525615519,0.749,0.375,0.635,0.605,47.697,2409.0,264.0,204.0,0.477,1.0,3.0,602.2,18.0,0.9369981126127338,1.0
Exploratory Learner,1110.0,484.0,2.095,1.0,0.0,0.0,0.0009,17.0,4.0,22.0,101.4,126.178,43.0,7.3,16.9,118.3,32.2,-8.5,10.0,0.593,25.0,3.0,0.0,14.0,11.0,21.1,0.608,3.359,7.215,3.0,28.08,36.0,0.099,0.0,0.979,0.7339557038725221,0.164,0.327,0.061,0.368,25.2,3240.0,109.0,1504.0,0.087,0.378,4.0,648.0,3.0,1.0,0.28
Independent Solver,8043.377,970.0,5.0,3.0,0.0,0.0,0.0013,22.0,3.0,15.0,88.3,79.0,64.0,0.8,4.8,135.9,88.7,1.9,10.0,0.304,54.44,1.063,0.0,10.0,5.0,36.1,0.666,1.386,4.0,2.0,9.039,6.0,0.161,0.0,0.316,0.796,0.5301513418039775,0.124,0.149,0.472,39.2,2719.0,90.0,1468.0,0.155,0.252,14.0,1.0,2.0,0.238,0.285
Iterative Debugger,1328.0,467.0,10.214,5.0,0.0,0.0,0.0038,19.0,7.0,38.0,95.1,73.0,46.0,7.9,32.1,542.635,66.5,-28.205,1.0,0.317,30.796,8.0,3.0,8.0,12.0,-4.8,0.578,4.0,2.0,3.0,8.0,23.0,-0.009,0.0,0.401,0.869,0.19525453046301275,0.735,0.229,0.349,6.952,3909.0,141.0,1640.0,0.077,0.108,12.0,300.7,5.0,0.5086759780662843,0.235
Iterative Debugger,8151.654,785.0,0.0,39.966,30.0,58.0,0.0063,17.0,6.0,34.0,81.3,70.0,62.0,8.6,39.8,147.6,55.2,2.8,10.0,0.304,46.547,13.0,5.0,6.0,16.0,22.7,1.0,14.689,3.0,0.0,25.0,52.0,0.224,0.0,0.512,0.595,0.398,0.466,0.257,0.498,114.268,3518.0,111.0,1377.0,0.192,0.046,10.0,319.8,0.0,0.29,0.3959160101282704
AI-Dependent Constructor,475.224,130.0,0.0,58.0,161.0,207.694,0.1476,0.0,0.0,1.0,5.3,14.0,20.0,27.9,559.341,3383.218,1167.6,38.4,0.1841815904498344,0.573,4.144,26.0,12.0,0.0,0.0,98.8,0.089,0.0,2.0,24.0,12.0,8.629,0.732,1.0,0.501,0.155,0.758,0.133,0.644,0.029,13.4,1456.0,29.0,10.0,0.756,0.573,13.0,1.0,26.579,0.534,0.23992822595470226
Independent Solver,1792.0,804.0,5.0,26.0,20.0,57.0,0.0145,26.0,6.0,13.0,105.1,69.0,93.0,5.8,28.5,114.2,74.3,-4.6,10.0,0.555,14.0,6.0,2.0,9.0,6.0,187.832,0.428,2.0,0.0,0.0,78.178,31.0,0.03,0.0,0.215,0.871,0.099,1.0,0.191,0.319,101.037,3193.0,143.0,1434.0,0.099,0.018875640484891282,1.0,399.1,0.0,0.15,0.122
Independent Solver,1564.0,640.0,0.0,5.0,33.0,57.0,0.0032,86.372,0.834,21.0,64.5,78.0,59.0,6.5,103.273,186.0,566.328,5.7,10.0,0.476,27.0,1.0,0.0,9.0,3.0,-11.0,0.54,7.923,0.857,0.0,22.51,24.0,0.102,1.0,0.58,0.649,0.32,0.152,1.0,0.28,11.973,2702.0,96.0,1450.0,0.054,0.05,13.0,193.0,0.0,0.162,0.146
Prompt Engineer Solver,1192.0,453.0,14.0,32.0,75.0,125.0,0.0268,0.0,0.0,3.0,65.5,78.0,65.0,1.0,109.7,183.2,109.6,14.3,2.482,0.288,3.0,17.0,10.0,0.0,0.0,30.1,0.21377359452750375,0.0,13.0,11.0,69.0,130.0,0.394,4.0,0.324,0.5109296743378795,0.694,0.176,0.601,0.763,60.6,2372.0,272.0,161.73,0.537,0.465,0.5167499584605203,790.7,21.0,0.53,0.582
AI-Dependent Constructor,335.0,26.0,0.0,55.0,193.0,354.0,0.16884380736880342,8.0,1.0,5.0,15.1,14.0,13.0,34.4,147.6,794.7,360.2,53.253,0.05498357487969688,0.105,6.0,21.0,18.0,3.0,0.0,94.3,0.085,0.0,1.0,23.0,9.0,47.722,0.61,0.0,0.25,0.36311103393593147,0.668,0.139,0.764,0.03,1.5,1574.0,30.0,96.0,0.658,1.0,11.0,131.2,36.0,0.598,1.0
Structured Collaborator,641.0,310.0,14.0,33.0,126.0,363.0,0.0514,10.0,2.0,4.155,32.5,31.0,24.0,8.6,38.8,369.2,256.3,29.3,0.771,0.202,5.0,22.0,30.568,4.0,1.0,16.5,0.102,0.0,8.0,13.0,51.468,88.0,0.491,4.0,2.211,0.152,0.38344099317161506,0.118,0.582,0.828,63.8,2406.0,318.0,1004.444,0.311,0.317,1.0,1203.0,30.0,0.478,0.485
Structured Collaborator,542.0,265.0,9.0,22.0,69.0,188.0,0.0405,0.0,0.0,5.0,46.0,26.0,28.0,10.3,43.1,260.9,187.1,13.0,1.784,0.306,6.0,22.0,49.584,1.0,2.0,10.4,0.089,0.0,8.0,12.0,18.0,32.0,0.429,5.0,0.524,0.108,0.799,0.28824151514261703,0.767,0.874,109.916,2510.0,448.349,1495.774,0.324,1.0,1.0,1255.0,22.0,0.481,0.526
Exploratory Learner,1655.0,654.0,1.41,10.0,32.0,58.344,0.006,26.0,8.0,16.0,80.7,47.0,69.0,0.3,1.2,476.634,85.7,-11.3,10.0,0.797,78.825,4.0,1.0,10.0,5.0,16.7,0.601,5.0,1.0,1.0,31.0,91.0,0.175,0.0,1.413,0.56,0.379,0.169,0.142,0.425,33.902,3630.0,117.0,1499.0,0.173,0.006,3.0,907.5,1.0,0.295,0.337
Structured Collaborator,525.0,217.0,11.0,12.0,42.0,360.0,0.06254416230064555,4.0,1.0,13.611,56.6,14.0,11.0,15.7,45.8,212.0,562.274,31.4,5.198,0.321,4.0,16.0,10.0,4.0,0.0,43.792,0.136,0.0,11.0,9.0,24.0,29.0,0.437,5.0,0.591,0.232,0.731,0.144,0.5,0.646,73.8,2344.0,298.0,316.0,0.561,0.275,2.0,781.3,11.0,0.312,0.367
Structured Collaborator,772.0,388.0,16.0,20.0,0.0,0.0,0.0259,0.0,0.0,5.0,63.0,149.721,23.0,14.8,83.9,190.5,146.7,3.9,10.0,0.134,5.0,20.0,15.0,5.0,2.0,4.6,0.41358285565825703,0.0,7.0,16.0,22.0,37.0,0.417,5.0,0.551,0.3233585539981211,0.854,0.196,0.638,0.691,108.72,2637.0,314.0,291.0,0.475,0.255,2.0,879.0,39.0,0.47,0.376
Independent Solver,1606.0,633.0,5.0,39.835,1.0,1.0,0.009837822462117866,18.0,4.0,14.0,84.0,15.624,142.347,6.0,29.4,142.9,59.8,10.3,10.0,2.399,18.0,7.023,1.0,14.0,7.0,48.5,0.614,5.0,2.0,0.0,8.0,13.0,0.139,0.0,0.422,0.562,0.38,1.0,0.249,0.326,14.495,2445.0,119.0,1291.0,0.05,0.2157472085897582,7.0,305.6,0.0,0.119,0.095
AI-Dependent Constructor,128.597,0.0,12.0,43.0,180.834,478.0,1.0,0.0,0.0,5.0,70.2,5.0,3.0,27.6,101.1,170.9,127.9,29.6,0.063,0.293,5.0,20.0,13.0,1.0,2.0,72.3,0.198,0.0,0.0,74.067,22.0,33.0,0.641,1.0,0.217,0.5466403783158305,0.696,0.9564296203773678,0.767,0.042,4.7,969.0,134.374,259.61,0.61,0.365,3.0,1.0,51.0,0.551,0.651
Structured Collaborator,2412.931,237.0,23.837,22.0,59.0,112.0,0.0411,2.0,0.0,5.0,59.6,16.0,12.0,4.8,21.3,201.3,389.751,19.8,2.055,0.267,6.0,77.216,70.227,0.0,2.0,55.7,0.787842080103825,0.0,8.0,2.212,15.061,16.0,0.638,4.0,0.5,0.212,0.693,0.168,0.479,3.833,50.4,2370.0,276.0,299.0,0.415,0.342,1.0,1185.0,13.0,0.416,0.496
Prompt Engineer Solver,1005.0,421.0,13.0,21.0,107.0,202.0,0.0209,6.0,0.0,1.0,62.1,42.0,48.0,12.7,60.3,193.2,115.1,22.9,2.235,0.265,1.0,13.0,10.0,0.0,0.0,290.938,0.183,0.0,26.619,16.0,50.0,269.517,0.49,6.0,0.518,0.142,0.22075609409633534,0.315,0.568,0.765,75.8,2843.0,287.0,357.0,0.467,0.532,4.0,568.6,25.0,0.331,0.296
AI-Dependent Constructor,243.0,30.0,17.456,68.0,140.0,372.0,0.9046933539038546,1.0,0.0,4.0,5.8,6.0,4.0,29.9,151.398,2069.0,721.9,49.1,0.2727429457818866,0.379,3.0,5.591,18.165,0.0,0.0,118.334,0.5900308173083875,0.0,3.0,25.0,25.553,27.0,0.615,0.0,0.395,0.262570189037029,0.638,0.139,0.76,0.084,6.0,1664.0,10.0,21.0,0.674,0.593,30.0,53.7,30.0,0.654,0.622
Structured Collaborator,379.0,170.0,18.0,5.0,219.703,177.0,0.0132,9.0,2.0,2.0,68.5,26.931,23.0,20.1,60.8,175.2,183.48,9.4,4.397,0.369,2.0,16.0,5.0,2.0,0.0,49.1,0.181,0.0,26.484,13.0,5.0,7.0,0.524,3.0,0.367,0.265,0.722,0.139,0.655,0.667,43.9,2834.0,242.0,303.0,0.452,0.311,5.0,472.3,23.0,0.31026478952342657,0.565
Structured Collaborator,684.0,214.0,19.0,25.0,19.0,32.0,0.0365,4.0,0.0,1.0,41.0,37.0,52.0,11.7,69.3,292.7,174.4,11.3,7.185,0.207,1.0,22.0,4.0,3.0,0.0,65.0,0.133,0.0,11.0,10.675,19.0,28.0,0.373,5.0,0.429,0.198,0.776,0.242,0.9015336516249809,1.16,70.1,3048.0,256.0,329.0,0.462,0.401,3.0,762.0,28.0,0.333,0.291
Independent Solver,1270.0,474.0,8.0,10.0,0.0,0.0,0.0079,14.0,4.0,19.0,70.0,53.0,57.0,4.0,16.6,132.353,81.6,6.9,10.0,0.67,16.0,10.0,5.0,11.0,8.613,35.8,0.658,0.708,5.0,0.0,5.0,9.0,-0.042,0.0,0.431,0.527,0.448,0.152,0.251,0.301,29.9,3511.0,77.0,1386.0,0.047,0.497,11.0,292.6,0.0,0.178,0.157
Iterative Debugger,1045.0,393.0,0.0,8.0,34.0,51.0,0.0076,12.886,0.0,35.0,240.815,30.0,30.0,1.0,7.4,237.6,70.2,5.0,10.0,0.663,46.0,8.0,5.0,11.0,7.0,49.8,0.402,4.0,0.0,2.0,8.0,11.0,0.185,0.0,0.267,0.653,0.294,0.439,0.287,0.954,152.072,3737.0,70.0,1477.0,0.149,1.0,8.0,415.2,13.036,0.163,0.07423892118124767
Iterative Debugger,947.0,352.0,0.0,0.0,0.0,0.0,0.0,21.0,1.817,34.0,90.1,47.0,39.0,9.2,47.0,133.2,32.5,12.9,10.0,0.548,49.0,1.0,0.0,13.0,12.0,-3.1,0.405,4.0,2.0,4.744,2.583,9.0,0.244,0.0,0.513,0.78,0.211,0.649,0.153,0.462,31.1,4369.0,69.287,1466.0,0.085,0.428,12.0,336.1,9.0,0.298,0.328
Prompt Engineer Solver,655.0,262.0,19.0,19.0,65.0,115.0,0.029,0.0,0.0,2.0,61.0,31.0,37.0,13.9,42.9,196.7,87.1,26.7,2.65,0.129,2.0,21.0,7.0,0.0,1.0,38.353,0.051,0.0,9.0,16.0,46.0,67.0,0.491,4.0,0.294,0.128,0.814,0.318,0.793,0.685,122.107,2931.0,336.0,874.024,0.498,0.42747491387133113,1.0,1465.5,20.0,0.551,0.457
Prompt Engineer Solver,2376.029,219.0,8.0,18.0,43.0,110.0,0.0335,0.0,0.0,1.425,56.8,24.0,24.0,5.0,23.9,211.3,84.9,47.984,3.465,0.288,1.0,18.0,8.0,1.0,0.0,56.9,0.199,0.0,9.0,9.0,74.0,124.0,0.41,3.542,0.594,0.28,0.68,1.0,0.554,0.61,71.3,2329.0,280.0,239.0,0.559,0.446,4.0,465.8,12.0,0.5457771355420149,0.376
Structured Collaborator,767.0,270.0,9.0,37.135,52.0,89.0,0.0208,9.0,2.0,10.993,70.7,44.437,16.0,8.0,45.232,169.7,96.3,18.2,0.9481892129362844,0.149,6.0,59.799,14.0,0.0,2.0,12.447,0.07985178650081878,0.0,8.0,8.0,30.0,59.0,0.413,4.0,0.213,0.117,0.813,0.246,0.601,0.658,260.044,3606.0,307.0,229.0,1.0,0.17387331501380246,4.0,721.2,11.0,1.0,0.614
Independent Solver,1976.0,3410.072,0.0,11.0,28.0,81.0,0.0056,17.0,5.0,15.0,91.6,51.0,60.0,1.0,20.987,131.0,66.9,7.2,10.0,0.391,12.0,1.0,0.0,8.0,5.0,7.6,0.455,6.0,1.0,0.0,9.382,53.161,0.012,0.0,0.245,0.713,0.5723051916577959,0.373,0.306,0.275,30.0,2257.0,140.0,1437.0,0.186,0.002,3.0,564.2,0.0,0.45932975965809864,0.248
AI-Dependent Constructor,627.0,100.0,7.0,63.0,164.0,436.0,0.04091406440642278,3.0,0.0,1.0,38.0,34.724,16.0,27.5,331.928,315.8,117.792,143.493,0.303,0.164,1.0,44.998,7.0,0.0,0.0,90.7,0.166,0.0,3.0,22.0,5.0,14.0,0.868,14.654,0.206,0.5076625259205629,0.552678827923472,0.328,0.792,0.036,9.7,1576.0,10.0,172.0,0.786,0.328,36.0,42.6,54.0,0.533,0.449
Iterative Debugger,1693.0,736.0,2.0,0.0,27.0,60.0,0.0,27.0,15.237,40.0,94.2,10.865,183.089,14.0,178.16,127.4,42.8,9.4,10.0,0.729,46.0,5.0,4.0,10.0,40.271,36.566,1.0,3.0,2.0,0.0,5.0,14.0,0.111,0.0,0.354,0.788,0.182,0.752,0.259,0.25,23.3,3423.0,110.0,1438.0,0.2,0.047,5.0,570.5,0.0,0.224,0.246
Independent Solver,1325.0,438.0,7.0,0.0,21.0,177.803,0.0,104.204,8.0,12.0,109.392,44.0,54.0,1.5,3.6,114.3,90.6,-7.5,10.0,0.252,11.0,9.0,4.0,9.0,5.0,42.2,0.638,5.729,2.0,2.0,1.388,8.0,-0.003,0.0,0.254,0.521,0.401,0.371,0.12159519442082474,0.629,33.5,3178.0,119.0,5857.555,0.198,0.052,11.0,264.8,9.935,0.216,0.236
Structured Collaborator,774.0,1116.8,10.0,21.0,81.0,542.981,0.0271,8.0,1.0,7.0,51.7,22.0,24.0,8.7,19.1,232.1,52.8,10.8,2.274,0.156,6.0,9.883,5.0,4.0,6.295,69.9,0.089,1.0,8.0,14.0,15.0,41.0,0.364,6.0,0.484,0.276,0.67,0.218,0.457,0.708,158.742,2994.0,308.0,111.0,0.49,1.0,1.0,1497.0,32.0,0.461,0.474
Independent Solver,1707.0,684.0,6.0,2.138,21.0,168.104,0.0023,44.765,5.0,16.0,106.6,68.0,77.0,3.0,15.6,112.6,46.2,-8.8,10.0,0.395,18.0,7.0,3.0,7.0,7.0,52.955,0.573,4.0,4.0,2.0,5.0,11.0,0.324,0.0,0.506,0.629,0.347,0.295,0.09,0.214,26.7,2225.0,302.575,1372.0,0.022,0.18,11.0,185.4,3.0,0.217,0.188
Blind Copier,10.0,65.0,8.0,43.0,400.0,2165.0,1.0,0.0,0.0,1.0,28.4,5.0,5.0,23.8,127.9,321.646,236.171,114.578,0.003,0.359,1.0,12.0,10.0,2.0,0.0,67.8,0.167,0.0,0.0,21.0,31.0,88.0,1.073,1.0,0.571,0.219,0.696,0.14435890804630763,0.8950300545229748,0.404,11.4,920.0,10.0,10.0,0.738,1.0,19.0,1.0,69.203,0.56,0.504
Independent Solver,2043.0,891.0,0.0,0.0,18.0,50.0,0.0,20.0,6.0,59.711,68.3,55.0,62.0,1.4,6.5,175.7,83.0,5.4,1.0,0.591,16.0,1.0,0.0,15.0,5.77,-12.6,0.595,2.0,3.0,2.0,5.0,13.0,0.203,0.0,0.98,0.553,0.3262837571276092,0.328,0.199,0.431,23.3,3078.0,132.0,1566.0,0.167,0.354,7.0,384.8,2.0,0.242,0.26
Iterative Debugger,1705.0,645.0,7.0,29.119,53.0,410.857,0.008859049834132708,22.0,7.0,26.0,97.9,63.0,84.0,1.0,25.0,122.6,59.6,2.645,10.0,0.387,20.0,1.0,0.0,12.0,13.0,1.3,0.57,3.0,1.0,4.0,16.0,27.0,0.142,0.0,0.378,0.502,0.468,0.578,0.144,0.39,41.1,4327.0,126.0,1489.0,0.078,0.108,10.0,1.0,8.0,0.05507513580421643,0.1140155486438701
Prompt Engineer Solver,712.0,288.0,17.0,21.0,42.0,60.0,0.0295,38.385,2.0,6.0,58.8,17.0,15.0,12.3,42.6,204.1,95.7,26.7,4.032,0.371,5.0,20.0,7.0,4.0,0.0,13.7,0.145,0.0,9.0,11.0,88.0,177.0,0.422,13.014,0.76,0.127,0.853,0.143,0.492,0.808,34.6,3114.0,281.0,405.0,0.47,0.23,4.0,622.8,23.0,0.541,0.624
Structured Collaborator,167.0,105.0,13.0,28.0,272.294,91.0,0.37648990379097613,0.0,0.0,2.0,73.7,5.0,7.0,24.6,131.5,162.8,80.7,23.9,0.414,0.363,1.644,24.0,16.0,4.0,0.0,129.801,0.07,2.0,26.474,12.0,48.342,30.0,0.415,5.353,0.384,0.255,0.695,0.242,0.46,0.691,43.8,1.0,326.0,219.0,0.403,0.35405474674815623,2.0,934.0,24.0,0.544,0.645
Structured Collaborator,645.0,281.0,52.928,21.0,38.0,57.0,0.12765824898901956,5.0,0.0,1.0,40.9,18.0,13.0,13.0,61.7,293.4,110.6,8.8,4.036,0.281,1.0,21.0,6.0,0.0,0.0,240.229,0.155,1.0,11.0,14.0,15.764,53.044,0.741,16.896,0.446,0.136,0.833,0.292,0.529,0.774,283.058,2856.0,302.0,343.0,0.51,0.544,4.0,1.0,29.0,0.45,0.409
Iterative Debugger,1344.0,549.0,3.0,0.0,26.0,46.0,0.0,21.0,5.0,39.654,102.4,33.0,45.0,5.4,15.8,117.2,59.6,-12.1,10.0,2.281,24.0,6.0,5.0,13.0,3.0,29.3,0.353,17.732,3.637,1.0,5.0,13.598,0.647,0.0,0.892,1.0,0.231,0.625,0.11,0.413,47.2,3917.0,141.0,1448.0,0.11345882505560739,1.0,3.0,979.2,1.0,0.136,0.139
Prompt Engineer Solver,4681.327,347.0,22.0,77.944,77.091,101.0,0.0187,0.0,0.0,1.0,61.3,46.0,26.0,12.1,163.363,195.8,152.4,11.2,4.366,0.151,1.0,15.0,13.0,0.0,0.0,73.9,0.199,0.0,38.203,12.0,61.0,145.0,0.35,3.442,2.831,0.21,0.725,0.11,0.63,0.284,78.7,3438.0,285.0,153.0,1.0,0.481,2.0,1146.0,27.0,0.554,0.584
Structured Collaborator,1007.0,435.0,16.0,37.0,99.0,206.0,0.0367,10.0,2.0,3.0,72.9,35.0,17.0,7.1,27.9,164.6,53.7,19.9,1.374,0.107,3.0,34.081,4.0,0.0,1.0,30.1,0.121,0.0,9.0,8.0,34.0,96.0,0.385,3.714,0.319,0.299,0.6983949736763363,0.364,0.545,0.728,50.4,3101.0,297.0,386.0,0.541,0.302,1.0,1.0,13.0,0.309,0.298
Independent Solver,1037.0,298.0,3.0,2.0,7.0,16.0,0.0019,21.0,8.74,14.0,72.496,68.0,51.0,-3.4,-11.7,115.1,86.3,-3.7,10.0,0.417,15.0,7.0,1.0,11.0,6.0,-2.3,0.406,3.0,1.0,0.0,5.0,11.0,-0.041,0.0,0.471,0.846,0.067,0.358,0.349,0.246,30.2,2031.0,446.115,1465.0,0.22803740638368816,0.488,5.0,338.5,0.0,0.372237563356986,0.11
Blind Copier,706.516,75.0,0.0,56.0,343.0,1418.0,0.3294,0.0,0.0,1.0,28.7,8.0,8.0,1.0,290.975,418.1,280.5,35.1,0.10438490337125116,0.121,1.0,22.0,7.0,1.0,0.0,84.1,0.5727095844280162,0.0,2.0,28.0,5.0,11.0,0.937,4.227,1.047,0.6812075874364805,0.706,0.247,0.983,0.085,13.9,951.0,25.0,103.0,0.71,0.233,13.0,1.0,53.0,0.31594071056231987,0.564
Iterative Debugger,1483.0,575.0,11.0,4.0,0.0,0.0,0.0027,16.0,2.0,37.0,303.099,165.838,43.0,5.7,12.8,464.025,37.9,7.1,10.0,0.567,43.0,5.0,3.47,12.0,8.0,14.6,0.6458879616942316,2.0,1.0,0.0,11.0,22.0,0.045,0.0,0.359,0.795,0.202,0.1273183626741804,1.0,1.018,44.0,3476.0,142.621,1593.0,0.001,0.395,13.0,248.3,0.0,0.283,0.33
Prompt Engineer Solver,1074.0,1068.645,18.0,15.0,93.0,149.0,0.014,0.0,0.0,14.0,169.247,163.505,38.0,19.1,86.2,257.0,67.5,21.541,3.847,1.239,39.65,24.0,13.0,0.0,7.0,70.68,0.08,0.0,12.0,10.0,144.815,184.0,0.486,5.0,0.384,0.193,1.0,0.7103689002048978,0.741,0.722,58.7,2322.0,281.0,147.0,0.335,0.252,3.0,580.5,21.0,0.331,0.353
Structured Collaborator,1059.0,1854.202,14.0,29.0,142.406,131.0,0.0274,0.0,0.0,3.0,80.1,54.0,28.0,5.2,20.0,713.462,64.7,21.4,1.807,0.152,3.0,28.0,10.0,0.0,0.0,56.7,0.166,0.0,9.0,10.0,30.0,84.0,0.423,4.0,0.415,0.08486673868016527,0.801,0.366,0.537,0.86,59.7,2985.0,352.0,206.0,0.425,0.217,3.0,746.2,15.0,0.8975273034369488,0.255
AI-Dependent Constructor,62.0,88.0,5.0,70.0,152.0,201.0,1.0,0.0,0.0,1.0,27.0,16.02,2.0,34.2,127.2,808.889,322.1,34.0,0.029,0.29,1.0,21.0,13.0,1.0,0.0,92.3,0.179,0.0,6.0,111.385,8.0,17.0,0.682,1.0,0.339,0.134,0.844,0.102,0.929,0.071,4.0,1523.0,21.0,30.564,0.688,0.09172055914039427,14.0,101.5,44.0,0.40907922374668465,0.721
Blind Copier,32.383,129.0,0.0,47.0,1339.766,7354.658,0.47,2.0,0.0,5.0,34.4,5.0,2.0,30.3,101.6,1093.236,221.8,33.9,0.029,0.297,4.0,18.0,12.0,2.0,3.372,129.9,0.159,0.0,0.964,27.0,13.0,35.0,2.769,4.542,0.469,0.256,0.722,0.259,1.093,0.039,60.514,802.0,34.0,10.0,0.6773503203650847,0.562,8.0,89.1,66.0,0.509,0.551
AI-Dependent Constructor,137.0,0.0,0.0,34.0,173.0,509.0,0.9717381861033142,11.0,1.0,1.0,52.6,5.0,2.0,24.9,112.1,228.1,94.9,37.3,0.116,0.356,1.0,24.0,39.297,6.0,0.0,377.439,0.177,0.0,0.0,28.0,37.0,91.0,0.812,0.0,2.569,0.182,0.732,0.166,1.0,0.013,-17.753,1503.0,41.0,10.0,0.752,0.34,4.0,300.6,42.0,0.555,1.0
AI-Dependent Constructor,10.0,91.0,5.0,23.481,103.976,396.0,4.5455,4.044,3.0,6.0,21.4,11.17,2.0,18.9,88.8,1545.6,123.92,116.354,0.007,0.25,6.0,19.0,13.0,0.0,7.827,98.7,0.103,1.0,0.0,26.0,15.0,37.0,0.801,3.0,0.543,0.194,1.0,0.209,1.0,0.026,22.008,600.0,71.0,50.0,0.769,0.555,2.0,200.0,38.0,0.539,0.618
Structured Collaborator,953.0,360.0,8.0,6.0,71.0,122.0,0.023412741857695752,8.0,3.0,3.0,67.4,34.0,19.0,12.5,37.3,178.0,66.8,19.6,10.0,0.394,3.0,19.0,5.0,0.0,0.0,51.7,0.104,2.0,8.0,12.0,18.0,23.0,1.044,4.0,0.495,0.5652958376873625,0.802,0.379,0.476,0.689,55.2,2866.0,294.0,169.0,0.37,0.561,1.0,1433.0,23.0,0.481,0.398
Prompt Engineer Solver,644.0,305.0,23.999,18.0,58.0,22.56,0.09669975279366942,7.0,0.0,2.0,57.4,40.0,61.228,11.1,59.4,209.1,45.5,21.7,3.081,0.333,1.0,22.0,13.0,3.0,0.0,28.2,0.051,1.498,8.935,11.0,56.174,98.0,0.444,3.0,0.25,0.107,0.863,1.0,0.495,0.888,54.8,3137.0,308.0,423.417,0.494,0.37,1.0,784.2,23.0,0.5253259883991055,0.535
AI-Dependent Constructor,1136.718,0.0,11.0,36.0,188.0,371.0,0.1277,3.0,0.0,9.0,9.5,8.0,7.0,28.8,166.3,1263.2,353.2,23.2,0.208,0.34,10.0,22.0,13.0,2.0,4.0,56.8,0.154,0.0,0.0,21.0,46.0,71.0,0.764,1.0,0.492,0.268,0.639,0.192,0.722,0.087,13.1,1244.0,10.0,10.0,0.811,0.571,1.0,25.4,45.0,0.616,0.67
Independent Solver,1406.0,568.0,3.0,26.0,62.677,41.0,0.0185,22.0,8.0,59.462,77.8,44.0,35.0,8.8,38.0,154.2,102.951,0.6,10.0,0.315,5.439,1.729,0.0,27.704,5.0,4.583,0.547,3.0,2.0,0.0,7.0,12.0,0.17,0.0,0.231,0.572,0.333,0.38,0.297,0.267,19.0,2765.0,89.0,1555.0,0.01,0.412,7.0,345.6,0.0,0.267,0.295
